Nome,Età,Città,Salario,Categoria Età
Federica,25.0,Napoli,2945.0,Adulto
Silvia,20.0,Bologna,9097.0,Adulto
Roberto,53.0,Napoli,7005.0,Adulto
Alessandro,40.5,Milano,6940.0,Adulto
Elena,85.0,Napoli,1675.0,Senior
Luca,65.0,Napoli,7007.5,Senior
Giulia,27.0,Torino,9020.0,Adulto
Martina,35.0,Bologna,1532.0,Adulto
Antonio,90.0,Firenze,2007.0,Senior
Valentina,23.0,Napoli,4774.0,Adulto
Davide,66.0,Firenze,5732.0,Senior
Laura,24.0,Torino,4447.0,Adulto
Ilaria,87.0,Torino,8668.0,Senior
Fabio,69.0,Roma,7010.0,Senior
Francesca,42.0,Torino,9137.0,Adulto
Marco,51.0,Firenze,7076.0,Adulto
Andrea,39.0,Torino,7741.0,Adulto
Simone,2.0,Napoli,7739.0,Giovane
Chiara,92.0,Napoli,9345.0,Senior
Sara,5.0,Roma,8915.0,Giovane
