Nome,Età,Città,Salario,Categoria Età
Stefano,17.0,Torino,6427.0,Giovane
Elena,96.0,Torino,4413.0,Senior
Francesca,36.0,Roma,5146.0,Adulto
Ilaria,,Milano,5954.0,Senior
Antonio,62.0,Milano,9594.0,Adulto
Marta,5.0,Roma,,Giovane
Martina,72.0,Napoli,5585.0,Senior
Giulia,71.0,Napoli,2902.0,Senior
Andrea,26.0,Napoli,9503.0,Adulto
Luca,36.0,Torino,1840.0,Adulto
Laura,82.0,Firenze,3786.0,Senior
Valentina,85.0,Firenze,3429.0,Senior
Alessandro,11.0,Napoli,4941.0,Giovane
Chiara,14.0,Napoli,1733.0,Giovane
Simone,78.0,Roma,5163.0,Senior
Silvia,48.0,Torino,1576.0,Adulto
Federica,27.0,Torino,7065.0,Adulto
Roberto,40.0,Bologna,8687.0,Adulto
Fabio,72.0,Napoli,3452.0,Senior
Sara,62.0,Napoli,6519.0,Adulto
Stefano,17.0,Torino,6427.0,Giovane
